Date,Open,High,Low,Close,Volume
22/2/2016 9:00,19349,19360,19340,19352,312
19/2/2016 16:00,19264,19339,19249,19332,4570
19/2/2016 15:45,19268,19272,19247,19266,3413
19/2/2016 15:30,19244,19269,19226,19268,2575
19/2/2016 15:15,19261,19265,19233,19244,2173
19/2/2016 15:00,19256,19277,19249,19260,1716
19/2/2016 14:45,19253,19278,19246,19258,2395
19/2/2016 14:30,19249,19261,19229,19254,2402
19/2/2016 14:15,19247,19262,19220,19248,3228
19/2/2016 14:00,19286,19292,19230,19248,4478
19/2/2016 13:45,19288,19333,19277,19286,4523
19/2/2016 13:30,19289,19321,19284,19289,3209
19/2/2016 13:15,19284,19311,19280,19288,3202
19/2/2016 13:00,19264,19291,19255,19284,2143
19/2/2016 11:45,19260,19270,19247,19256,1263
19/2/2016 11:30,19253,19289,19252,19262,2959
19/2/2016 11:15,19240,19262,19224,19252,3161
19/2/2016 11:00,19266,19282,19235,19241,3294
19/2/2016 10:45,19245,19287,19244,19267,3385
19/2/2016 10:30,19244,19262,19227,19244,3317
19/2/2016 10:15,19258,19276,19238,19243,3774
19/2/2016 10:00,19242,19261,19206,19259,4582
19/2/2016 9:45,19282,19284,19222,19241,5046
19/2/2016 9:30,19251,19325,19249,19282,7205
19/2/2016 9:15,19230,19268,19190,19250,5079
19/2/2016 9:00,19232,19232,19222,19230,277
18/2/2016 16:00,19353,19353,19293,19294,4348
18/2/2016 15:45,19307,19363,19305,19353,5071
18/2/2016 15:30,19314,19321,19293,19305,2291
18/2/2016 15:15,19300,19335,19299,19313,2331
18/2/2016 15:00,19276,19312,19265,19301,2537
18/2/2016 14:45,19266,19292,19262,19274,1894
18/2/2016 14:30,19314,19315,19257,19266,4199
18/2/2016 14:15,19317,19329,19295,19313,2338
18/2/2016 14:00,19336,19340,19312,19317,2252
18/2/2016 13:45,19335,19342,19307,19337,3897
18/2/2016 13:30,19365,19371,19331,19334,3287
18/2/2016 13:15,19326,19397,19324,19365,4586
18/2/2016 13:00,19330,19354,19306,19326,2472
18/2/2016 11:45,19325,19330,19305,19326,1452
18/2/2016 11:30,19308,19340,19300,19327,2396
18/2/2016 11:15,19305,19333,19279,19308,3078
18/2/2016 11:00,19306,19312,19266,19303,4597
18/2/2016 10:45,19343,19347,19306,19307,3170
18/2/2016 10:30,19317,19383,19313,19343,3707
18/2/2016 10:15,19345,19346,19296,19318,5179
18/2/2016 10:00,19419,19419,19317,19345,8251
18/2/2016 9:45,19391,19447,19380,19419,6313
18/2/2016 9:30,19416,19451,19371,19391,10601
18/2/2016 9:15,19380,19445,19350,19417,6968
18/2/2016 9:00,19387,19391,19376,19384,562
17/2/2016 16:00,18912,18965,18911,18916,4018
17/2/2016 15:45,18934,18937,18895,18912,4568
17/2/2016 15:30,18958,18962,18916,18933,3890
17/2/2016 15:15,18955,18975,18946,18959,3051
