Date,Open,High,Low,Close,Volume
10/11/2015 15:00,22363,22369,22286,22307,4775
10/11/2015 14:45,22375,22383,22344,22365,2827
10/11/2015 14:30,22355,22388,22351,22375,2977
10/11/2015 14:15,22384,22386,22337,22355,3408
10/11/2015 14:00,22369,22400,22353,22382,3583
10/11/2015 13:45,22375,22383,22342,22368,3471
10/11/2015 13:30,22350,22385,22330,22376,4209
10/11/2015 13:15,22369,22383,22329,22351,4343
10/11/2015 13:00,22380,22401,22354,22368,3907
10/11/2015 11:45,22421,22436,22392,22395,1995
10/11/2015 11:30,22428,22446,22401,22422,2944
10/11/2015 11:15,22411,22467,22408,22430,5856
10/11/2015 11:00,22393,22418,22376,22409,3992
10/11/2015 10:45,22362,22430,22350,22393,6207
10/11/2015 10:30,22325,22365,22322,22362,3972
10/11/2015 10:15,22337,22358,22320,22325,3471
10/11/2015 10:00,22337,22367,22327,22337,4507
10/11/2015 9:45,22403,22406,22319,22338,6209
10/11/2015 9:30,22320,22416,22317,22404,8174
10/11/2015 9:15,22407,22425,22300,22319,7072
10/11/2015 9:00,22430,22432,22390,22407,372
9/11/2015 16:00,22642,22650,22598,22608,3252
9/11/2015 15:45,22706,22707,22626,22643,6722
9/11/2015 15:30,22752,22761,22704,22704,2917
9/11/2015 15:15,22762,22775,22747,22752,1656
9/11/2015 15:00,22762,22774,22748,22763,2505
9/11/2015 14:45,22801,22807,22743,22762,4133
9/11/2015 14:30,22814,22824,22795,22802,2207
9/11/2015 14:15,22813,22834,22789,22813,2963
9/11/2015 14:00,22838,22845,22801,22813,2890
9/11/2015 13:45,22819,22848,22813,22838,2768
9/11/2015 13:30,22826,22833,22778,22819,4612
9/11/2015 13:15,22846,22858,22820,22826,2335
9/11/2015 13:00,22855,22861,22813,22847,3176
9/11/2015 11:45,22851,22874,22845,22849,1652
9/11/2015 11:30,22893,22893,22836,22848,3282
9/11/2015 11:15,22888,22951,22886,22893,4876
9/11/2015 11:00,22897,22907,22864,22889,3568
9/11/2015 10:45,22896,22928,22874,22896,5330
9/11/2015 10:30,22832,22918,22814,22896,6492
9/11/2015 10:15,22776,22864,22753,22834,6108
9/11/2015 10:00,22766,22780,22731,22774,4458
9/11/2015 9:45,22808,22836,22744,22766,6316
9/11/2015 9:30,22651,22822,22650,22809,8146
9/11/2015 9:15,22625,22726,22620,22650,5022
9/11/2015 9:00,22656,22660,22618,22626,309
6/11/2015 16:00,22825,22831,22708,22738,3443
6/11/2015 15:45,22771,22839,22767,22824,3888
6/11/2015 15:30,22807,22809,22757,22773,3220
6/11/2015 15:15,22810,22822,22801,22806,1390
6/11/2015 15:00,22817,22829,22801,22811,2074
6/11/2015 14:45,22810,22836,22804,22816,2770
6/11/2015 14:30,22811,22836,22791,22809,3447
6/11/2015 14:15,22846,22854,22803,22811,3582
6/11/2015 14:00,22852,22863,22839,22845,2539
6/11/2015 13:45,22843,22865,22824,22851,3073
6/11/2015 13:30,22851,22858,22819,22843,3809
6/11/2015 13:15,22842,22873,22826,22852,4260
6/11/2015 13:00,22804,22869,22802,22841,3982
6/11/2015 11:45,22805,22816,22796,22806,956
6/11/2015 11:30,22813,22821,22797,22804,1204
6/11/2015 11:15,22830,22838,22788,22814,3116
6/11/2015 11:00,22826,22843,22798,22828,3222
6/11/2015 10:45,22795,22845,22787,22825,3474
6/11/2015 10:30,22842,22863,22778,22797,5086
6/11/2015 10:15,22812,22878,22794,22839,5981
6/11/2015 10:00,22817,22822,22770,22812,4359
6/11/2015 9:45,22813,22822,22744,22817,6896
6/11/2015 9:30,22793,22835,22728,22814,7478
6/11/2015 9:15,22904,22917,22780,22791,5944
6/11/2015 9:00,22907,22910,22904,22908,162
5/11/2015 16:00,23004,23026,22953,22963,3202
5/11/2015 15:45,23008,23027,23003,23006,2948
5/11/2015 15:30,23019,23022,22978,23008,2081
5/11/2015 15:15,23025,23030,22988,23022,2047
5/11/2015 15:00,22989,23034,22970,23025,2984
5/11/2015 14:45,22999,23013,22967,22988,3725
5/11/2015 14:30,23043,23052,22999,22999,2646
5/11/2015 14:15,23028,23044,22989,23043,4505
5/11/2015 14:00,23068,23098,23028,23030,4474
5/11/2015 13:45,23020,23070,22992,23069,4082
5/11/2015 13:30,23077,23084,23009,23019,6092
5/11/2015 13:15,23082,23106,23057,23076,3683
5/11/2015 13:00,23064,23113,23056,23080,4703
5/11/2015 11:45,23097,23107,23060,23073,1279
5/11/2015 11:30,23094,23142,23079,23095,2996
5/11/2015 11:15,23090,23115,23073,23093,4742
5/11/2015 11:00,23015,23116,22991,23089,5951
5/11/2015 10:45,23085,23106,23007,23017,5258
5/11/2015 10:30,23084,23122,23057,23087,4520
5/11/2015 10:15,23150,23164,23067,23082,7816
5/11/2015 10:00,23028,23155,23020,23147,8630
5/11/2015 9:45,23021,23041,22943,23026,6435
5/11/2015 9:30,22956,23054,22915,23022,7630
5/11/2015 9:15,23082,23085,22952,22958,5795
5/11/2015 9:00,23042,23082,23040,23076,274
4/11/2015 16:00,23020,23115,23016,23114,3606
4/11/2015 15:45,23053,23072,23003,23021,5111
4/11/2015 15:30,23054,23091,23047,23054,3074
4/11/2015 15:15,23087,23090,22958,23056,6606
4/11/2015 15:00,23065,23099,23056,23087,3379
4/11/2015 14:45,23117,23136,23047,23066,4151
4/11/2015 14:30,23127,23139,23056,23116,4830
4/11/2015 14:15,23045,23131,23045,23126,4803
4/11/2015 14:00,23035,23088,23006,23044,5202
4/11/2015 13:45,22963,23050,22927,23035,5272
4/11/2015 13:30,22945,22983,22929,22965,4152
4/11/2015 13:15,23021,23022,22881,22944,9702
4/11/2015 13:00,23200,23200,22997,23022,9854
4/11/2015 11:45,23295,23302,23273,23284,1649
4/11/2015 11:30,23276,23326,23265,23295,3488
4/11/2015 11:15,23239,23289,23231,23276,3504
4/11/2015 11:00,23263,23301,23234,23237,4590
4/11/2015 10:45,23246,23277,23205,23264,4743
4/11/2015 10:30,23247,23289,23200,23244,7472
4/11/2015 10:15,23083,23347,23083,23248,13786
4/11/2015 10:00,22973,23089,22973,23080,9546
4/11/2015 9:45,22744,22991,22742,22974,12182
4/11/2015 9:30,22728,22762,22721,22744,5294
4/11/2015 9:15,22717,22739,22661,22726,4875
4/11/2015 9:00,22708,22724,22701,22713,264
3/11/2015 16:00,22558,22585,22546,22580,2391
3/11/2015 15:45,22569,22577,22556,22558,2902
3/11/2015 15:30,22585,22607,22566,22566,2189
3/11/2015 15:15,22579,22597,22574,22583,1728
3/11/2015 15:00,22586,22598,22569,22580,2281
3/11/2015 14:45,22565,22597,22552,22584,2905
3/11/2015 14:30,22608,22608,22555,22566,4483
3/11/2015 14:15,22624,22644,22604,22606,2537
3/11/2015 14:00,22616,22629,22601,22625,2287
3/11/2015 13:45,22641,22648,22611,22615,2480
3/11/2015 13:30,22630,22648,22612,22640,2560
3/11/2015 13:15,22614,22638,22588,22631,4250
3/11/2015 13:00,22650,22660,22610,22613,2415
3/11/2015 11:45,22649,22668,22644,22652,1189
3/11/2015 11:30,22640,22663,22636,22651,1506
3/11/2015 11:15,22633,22649,22626,22640,1973
3/11/2015 11:00,22627,22639,22607,22633,2425
3/11/2015 10:45,22620,22653,22616,22628,2764
3/11/2015 10:30,22611,22636,22595,22620,3363
3/11/2015 10:15,22638,22677,22593,22609,5871
3/11/2015 10:00,22629,22648,22610,22640,3949
3/11/2015 9:45,22584,22664,22582,22630,7222
3/11/2015 9:30,22575,22603,22545,22586,5378
3/11/2015 9:15,22535,22608,22500,22572,4727
3/11/2015 9:00,22520,22540,22520,22538,305
2/11/2015 16:00,22338,22365,22332,22357,3499
2/11/2015 15:45,22299,22340,22290,22339,4039
2/11/2015 15:30,22335,22356,22299,22299,3452
2/11/2015 15:15,22361,22379,22332,22334,2308
2/11/2015 15:00,22386,22395,22357,22360,2236
2/11/2015 14:45,22387,22388,22342,22386,4353
2/11/2015 14:30,22400,22415,22378,22386,2625
2/11/2015 14:15,22404,22418,22373,22398,3812
2/11/2015 14:00,22406,22424,22386,22405,3602
2/11/2015 13:45,22454,22456,22400,22406,4306
2/11/2015 13:30,22426,22479,22420,22454,4003
2/11/2015 13:15,22462,22469,22414,22426,3827
2/11/2015 13:00,22492,22493,22446,22463,2594
2/11/2015 11:45,22506,22509,22447,22460,1895
2/11/2015 11:30,22510,22514,22482,22507,2353
2/11/2015 11:15,22553,22584,22503,22510,4783
2/11/2015 11:00,22500,22564,22492,22552,4354
2/11/2015 10:45,22443,22524,22434,22502,4643
2/11/2015 10:30,22431,22487,22428,22443,5177
2/11/2015 10:15,22388,22435,22366,22429,3795
2/11/2015 10:00,22404,22428,22339,22387,5339
2/11/2015 9:45,22422,22463,22393,22404,5881
2/11/2015 9:30,22379,22435,22317,22423,6327
2/11/2015 9:15,22290,22444,22230,22380,5151
2/11/2015 9:00,22420,22435,22230,22329,577
30/10/2015 16:00,22624,22690,22622,22684,3459
30/10/2015 15:45,22704,22707,22610,22624,3940
30/10/2015 15:30,22708,22717,22690,22704,1692
30/10/2015 15:15,22716,22720,22678,22707,1717
30/10/2015 15:00,22672,22729,22666,22718,2458
30/10/2015 14:45,22688,22713,22663,22674,2829
30/10/2015 14:30,22713,22731,22661,22688,3499
30/10/2015 14:15,22745,22767,22713,22714,2840
30/10/2015 14:00,22776,22786,22720,22744,4052
30/10/2015 13:45,22724,22807,22724,22776,4351
30/10/2015 13:30,22787,22787,22711,22724,4132
30/10/2015 13:15,22768,22826,22766,22786,3991
30/10/2015 13:00,22790,22848,22756,22767,5481
30/10/2015 11:45,22712,22799,22711,22771,3870
30/10/2015 11:30,22701,22725,22678,22712,2306
30/10/2015 11:15,22672,22714,22641,22701,4321
30/10/2015 11:00,22706,22712,22663,22673,3542
30/10/2015 10:45,22687,22730,22668,22705,3751
30/10/2015 10:30,22636,22725,22629,22686,4781
30/10/2015 10:15,22677,22677,22626,22635,4376
30/10/2015 10:00,22666,22738,22642,22677,6168
30/10/2015 9:45,22633,22676,22608,22667,5193
30/10/2015 9:30,22685,22706,22619,22631,6758
30/10/2015 9:15,22745,22777,22679,22688,4641
30/10/2015 9:00,22745,22757,22743,22746,215
29/10/2015 16:00,22801,22810,22751,22762,3657
29/10/2015 15:45,22795,22830,22785,22803,3161
29/10/2015 15:30,22814,22838,22766,22795,2833
29/10/2015 15:15,22840,22840,22794,22813,2348
29/10/2015 15:00,22820,22866,22800,22840,2738
29/10/2015 14:45,22841,22848,22772,22820,4458
29/10/2015 14:30,22875,22875,22815,22841,3443
29/10/2015 14:15,22923,22929,22864,22875,3228
29/10/2015 14:00,22901,22938,22873,22923,3310
29/10/2015 13:45,22915,22977,22885,22901,5890
