Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG15,Volume,VolumeSMAVG5
20/10/2015 10:15,22908,22932,22866,22904,22943,22984,22973,4402,4892
20/10/2015 10:00,22972,22981,22890,22909,22958,22993,22974,5733,4048
20/10/2015 9:45,22996,23008,22952,22971,22985,23000,22975,4957,3295
20/10/2015 9:30,22936,23030,22930,22995,22998,22998,22972,6129,2877
20/10/2015 9:15,22981,22987,22931,22937,23007,22991,22969,3238,2519
20/10/2015 9:00,22980,22985,22980,22980,23026,22988,22974,183,2417
19/10/2015 16:00,23038,23047,23024,23041,23028,22981,22974,1969,3046
19/10/2015 15:45,23045,23064,23022,23035,23015,22970,22972,2867,3302
19/10/2015 15:30,23029,23088,23026,23044,22998,22959,22971,4339,3394
19/10/2015 15:15,22988,23035,22987,23028,22974,22950,22970,2725,3184
19/10/2015 15:00,22975,23017,22974,22992,22950,22948,22966,3329,3306
19/10/2015 14:45,22954,22988,22940,22974,22934,22947,22965,3251,3113
19/10/2015 14:30,22920,22968,22895,22954,22925,22951,22969,3324,3095
19/10/2015 14:15,22907,22944,22875,22921,22919,22958,22969,3293,3402
19/10/2015 14:00,22916,22933,22882,22908,22927,22967,22971,3334,3376
19/10/2015 13:45,22930,22950,22908,22914,22947,22974,22975,2363,2945
19/10/2015 13:30,22923,22950,22902,22930,22960,22981,22983,3163,2860
19/10/2015 13:15,22962,22975,22885,22923,22976,22991,22995,4857,2679
19/10/2015 13:00,23005,23006,22938,22960,22996,22993,23002,3162,2459
19/10/2015 11:45,22983,23018,22978,23006,23008,22993,23008,1181,2577
19/10/2015 11:30,23008,23030,22973,22981,23002,22990,23011,1937,3200
19/10/2015 11:15,23027,23030,23004,23009,23001,22995,23015,2256,3688
19/10/2015 11:00,23015,23066,23003,23026,23006,23004,23014,3759,4482
19/10/2015 10:45,22972,23018,22967,23017,22990,23005,23010,3754,4652
19/10/2015 10:30,22979,22979,22921,22975,22978,23008,23008,4294,4867
19/10/2015 10:15,23033,23054,22963,22980,22978,23016,23008,4378,4770
19/10/2015 10:00,22952,23069,22949,23031,22989,23021,23008,6226,3945
19/10/2015 9:45,22959,22968,22905,22949,23003,23018,23003,4610,3384
19/10/2015 9:30,22972,22997,22934,22956,23020,23021,23005,4828,3197
19/10/2015 9:15,23042,23043,22952,22974,23037,23022,23008,3806,2748
19/10/2015 9:00,23024,23052,23023,23034,23054,23023,23009,256,2646
16/10/2015 16:00,23034,23132,23028,23100,23053,23018,23006,3421,3469
16/10/2015 15:45,23039,23056,23028,23037,23032,23004,22997,3674,3245
16/10/2015 15:30,23060,23074,23022,23039,23021,22998,22992,2581,2941
16/10/2015 15:15,23030,23075,23013,23061,23008,22994,22990,3299,2831
16/10/2015 15:00,22994,23050,22984,23030,22992,22987,22988,4370,2650
16/10/2015 14:45,22977,22998,22963,22995,22983,22982,22988,2302,2314
16/10/2015 14:30,22975,22993,22957,22979,22975,22979,22993,2154,2420
16/10/2015 14:15,22982,22995,22962,22974,22975,22978,22998,2028,2445
16/10/2015 14:00,22985,23009,22974,22983,22980,22981,23005,2397,2615
16/10/2015 13:45,22956,22999,22946,22985,22982,22986,23012,2688,2384
16/10/2015 13:30,22979,22994,22948,22956,22980,22991,23018,2832,2190
16/10/2015 13:15,22997,23009,22970,22979,22983,23003,23015,2280,2433
16/10/2015 13:00,22988,23028,22983,22997,22980,23009,23007,2876,2942
16/10/2015 11:45,22978,23000,22958,22991,22982,23018,23001,1243,3032
16/10/2015 11:30,22970,22986,22955,22978,22989,23027,22992,1718,3552
16/10/2015 11:15,22964,22976,22931,22970,23002,23036,22984,4049,3905
16/10/2015 11:00,23011,23012,22942,22963,23022,23031,22978,4823,3983
16/10/2015 10:45,23029,23049,22978,23008,23037,23021,22972,3329,4088
16/10/2015 10:30,23038,23050,22998,23028,23053,23011,22963,3842,4458
16/10/2015 10:15,23069,23086,23031,23039,23065,22993,22951,3484,5051
16/10/2015 10:00,23038,23094,23038,23072,23071,22975,22940,4436,4428
16/10/2015 9:45,23088,23104,23013,23040,23039,22956,22923,5347,4364
16/10/2015 9:30,23086,23124,23051,23088,23005,22939,22911,5181,4203
16/10/2015 9:15,23078,23122,23027,23086,22968,22919,22896,6809,4148
16/10/2015 9:00,23085,23085,23068,23070,22922,22894,22885,367,3750
15/10/2015 16:00,22869,22914,22844,22912,22878,22874,22874,4116,4622
15/10/2015 15:45,22905,22919,22858,22869,22873,22865,22869,4540,4203
15/10/2015 15:30,22852,22918,22836,22905,22873,22865,22862,4907,3966
15/10/2015 15:15,22854,22854,22777,22852,22869,22860,22849,4818,3731
15/10/2015 15:00,22885,22887,22827,22854,22867,22866,22840,4729,3459
15/10/2015 14:45,22872,22911,22869,22884,22869,22871,22825,2022,3249
15/10/2015 14:30,22885,22920,22867,22870,22858,22868,22809,3356,3617
15/10/2015 14:15,22842,22898,22832,22883,22856,22856,22789,3729,3674
15/10/2015 14:00,22863,22888,22831,22844,22851,22839,22771,3458,3755
